CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,D001_01,D002,D015,D014,D016,D017_01,PS17_01,PS17_02,PS17_03,PS16,PS15,PS14,PS13,PS12,PS11,PS11_05,PS11_01,PS11_02,PS11_03,PS11_04,PS10,PS09,PS08_01,PS07,PS06,PS05_01,PS04_01,PS03,PS02_01,PS18,KO01_01,KO01_02,KO01_03,KO01_04,KO01_05,F001_02,F001_04,F001_05,F001_06,F001_07,F001_08,F002,F002_01,F002_02,F002_03,F002_04,F002_05,F002_06,F002_07,F002_08,F002_09,F002_10,F002_11,F002_12,F002_13,F006,F006_01,F006_02,F006_03,F006_04,F006_05,F006_06,F006_07,F006_08,F006_09,F006_10,F006_11,F006_12,F006_13,F006_14,F008_01,F008_02,F008_03,F008_04,F008_05,F009_01,F009_02,F009_03,F009_04,F009_05,F009_06,F009_07,F009_08,F009_09,F010,F011,F013,F012,F014,F014_02,F015,F016,F017,F018,F004_01,PP01_01,PP01_02,PP01_03,PP01_04,PP01_05,PP01_06,PP01_07,PP04_01,PP04_02,PP04_03,PP04_04,PP06_01,PP06_02,PP06_03,PP06_04,PP05_01,PP05_02,PP05_03,PP05_04,PP05_05,LG01_01,LG01_02,LG01_03,LG01_04,LG01_05,LG01_06,LG01_07,LG01_08,LG01_09,LG01_10,VP01_01,VP01_02,VP01_03,VP01_04,VP01_05,VP01_06,VP01_07,VP01_08,VP01_09,VP01_10,VP01_11,VP01_12,VP01_13,VP01_14,VP02_01,VP02_02,VP02_03,VP02_04,VP02_05,VP02_06,VP02_07,VP02_08,VP02_09,VP02_10,VP02_11,VP02_12,VP03_01,VP03_02,VP03_03,VP03_04,VP03_05,VP03_06,VP03_07,VP03_08,VP03_09,VP03_10,VP03_11,VP03_12,VP03_13,VP03_14,VP03_15,VP03_16,VP04_01,VP04_02,VP04_03,VP04_04,VP04_05,VP04_06,VP04_07,FP01_01,FP01_02,FP01_03,FP01_04,FP01_05,FP01_06,FP01_07,FP01_08,FP01_09,FP01_10,FP01_11,FP01_12,FP01_13,FP02_01,FP02_02,FP02_03,FP02_04,FP02_05,FP02_06,FP02_07,FP02_08,FP02_09,FP02_10,FP02_11,FP02_12,FP02_13,FP02_14,FP02_15,FP02_16,FP02_17,FP02_18,FP02_19,FP02_20,FP03_01,FP03_02,FP03_03,FP03_04,FP03_05,FP03_06,FP03_07,TP01_01,TP01_02,TP01_03,TP01_04,TP01_05,TP01_06,TP02_01,TP02_02,TP02_03,TP02_04,TP02_05,TP02_06,CV19_01,CV19_02,CV19_03,CV19_04,CV19_05,CV19_06,CV22_01,CV22_02,CV22_03,CV22_04,CV22_05,CV22_06,CV22_07,CV22_08,CV22_09,CV22_10,CV22_11,CV22_12,CV25_01,CV26_01,CV27_01,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME015,TIME016,TIME017,TIME019,TIME020,TIME021,TIME022,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
206,,,base,interview,2021-02-10 14:22:55,29,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,5.0,Sonstiges,EH,GW,7,nein,2.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ja,,,,,100.0,80.0,AHS,2,Dezember 2020,trifft voll zu,3.0,3.0,trifft voll zu,3.0,4,45,5,18,4,15,6.0,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,10.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,trifft zu,trifft zu,trifft zu,trifft zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,teils/teils,keine Änderungen,,keine Änderung,keine Änderung,"Unterschiedliches gelernt, nämlich:",besserer Umgang mit MS Teams aus der Lehrer-Sicht,keine Änderung,gleich,besser,keine Änderung,,trifft voll zu,trifft voll zu,trifft voll zu,3.0,2.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,2.0,3.0,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,3.0,trifft voll zu,sehr häufig,sehr häufig,sehr häufig,4.0,5.0,4.0,sehr häufig,5.0,4.0,5.0,5.0,sehr häufig,5.0,5.0,2.0,4.0,sehr häufig,sehr häufig,5.0,4.0,5.0,5.0,4.0,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,teils/teils,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft eher nicht zu,teils/teils,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,hatte auch Vorteile: zB nicht für jeden Praxistag 120km mit dem Auto zu fahren - Benzinkosten!<br>habe allerdings in beiden Praktika so viele Stunden wie möglich hospitiert und teilweise auch unterrichtet im Sept + Okt vor dem Lockdown - darüber bin ich sehr froh,"der Fragebogen war mir zu lange, weshalb nicht mehr alles ausgefüllt wurde",BJM14B,4.0,18.0,56.0,,97.0,51.0,132.0,103.0,229.0,89.0,65.0,53.0,247.0,105.0,6.0,3.0,3.0,,,176.0,47.0,1484.0,,2021-02-10 14:47:39,ausgefüllt,Teilnehmer,22.0,22.0,29.0,29.0,,86.0
207,,,base,interview,2021-02-10 14:24:24,26,weiblich,alleine.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,GS,DE,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,21.0,12.0,NMS,3,Dezember 2020,3.0,trifft voll zu,3.0,3.0,3.0,2,8,4,1,0,6,4.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,6.0,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,trifft eher nicht zu,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft eher nicht zu,,,,,,,,,,,,trifft voll zu,3.0,trifft voll zu,3.0,trifft voll zu,3.0,3.0,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,3.0,3.0,2.0,trifft voll zu,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,5.0,4.0,3.0,3.0,trifft voll zu,trifft voll zu,5.0,5.0,5.0,trifft voll zu,trifft eher nicht zu,trifft eher nicht zu,teils/teils,teils/teils,trifft eher zu,trifft nicht zu,teils/teils,trifft eher nicht zu,trifft eher nicht zu,teils/teils,trifft eher nicht zu,trifft nicht zu,trifft eher zu,trifft eher zu,trifft zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,,,MAJ29b,6.0,26.0,31.0,,29.0,33.0,74.0,77.0,103.0,,,105.0,,,,,,,,89.0,36.0,609.0,,2021-02-10 14:34:33,ausgefüllt,Teilnehmer,22.0,22.0,6.0,1.0,,7.0
209,,,base,interview,2021-02-10 14:26:36,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,6.0,4.0,,,INF,EN,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,10.0,AHS,3,Jänner 2021,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,23.0,36.0,,59.0,20.0,3720.0,,,,,,,,,,,,,,,254.0,,2021-02-10 15:31:04,abgebrochen,Teilnehmer,7.0,7.0,27.0,20.0,,9.0
210,,,base,interview,2021-02-10 14:27:18,,weiblich,mit meinem*meiner Parnter*in.,,nicht erwerbstätig.,,äußerst wichtig,6.0,,,GW,EN,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,2.0,AHS,3,Jänner 2021,trifft voll zu,trifft voll zu,3.0,trifft voll zu,3.0,0,15,0,0,0,5,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,1.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,teils/teils,trifft eher zu,trifft eher zu,trifft zu,trifft nicht zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft eher zu,teils/teils,,,,,,,,,,,,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,,trifft voll zu,,,trifft voll zu,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,trifft nicht zu,trifft nicht zu,trifft nicht zu,,trifft eher zu,,trifft nicht zu,trifft eher zu,teils/teils,trifft nicht zu,teils/teils,trifft eher zu,trifft eher zu,teils/teils,trifft zu,trifft nicht zu,trifft zu,trifft eher nicht zu,,,EFL19B,19.0,18.0,39.0,,51.0,32.0,54.0,65.0,114.0,,,29.0,,,,,,,,100.0,36.0,557.0,,2021-02-10 14:36:35,ausgefüllt,Teilnehmer,22.0,22.0,26.0,21.0,,11.0
211,,,base,interview,2021-02-10 14:36:30,20,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,,äußerst wichtig,äußerst wichtig,,,PuP,EN,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,18.0,37.0,,,,,,,,,,,,,,,,,,,58.0,,2021-02-10 14:37:28,abgebrochen,Teilnehmer,3.0,3.0,19.0,5.0,,24.0
214,,,base,interview,2021-02-10 14:39:13,34,weiblich,mit meinem*meiner Parnter*in.,,während des ganzen Semesters erwerbstätig.,8,äußerst wichtig,äußerst wichtig,,,BE,EN,7,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,53.0,21.0,AHS,2,Dezember 2020,3.0,trifft voll zu,3.0,trifft voll zu,trifft voll zu,2,6,,12,0,11,7.0,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,12.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,teils/teils,teils/teils,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft zu,trifft zu,keine Änderungen,,mehr gelernt,keine Änderung,"Unterschiedliches gelernt, nämlich:","andere Formen des Unterrichtens. Wie ich den Stoff vermittle, dass SuS es sich selbst alleine erarbeiten können.",keine Änderung,größer,gleich,keine Änderung,"Für mich kamen die Informationen teilweise etwas spät und die Kanäle über die diese verbreitet wurden sind unklar. Es fliegen überall Teilinformationen rum auf den verschiedenen Websiten mit altem Stand. Es wäre gut, wenn die Kommunikation auf EINEN Kanal beschränkt wird. Teilweise waren Studierende vor den Fachpraxisbetreuer*innen informiert. Für das kommende 3te Corona-Semester würde ich mir wünschen, dass ALLE Beteiligten regelmäßig vom PPS per Mail informiert werden und die Infos auf der Website gesammelt werden zum Nachlesen.",trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,2.0,3.0,trifft gar nicht zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,3.0,3.0,3.0,2.0,3.0,trifft voll zu,2.0,2.0,3.0,4.0,5.0,nie,2.0,5.0,4.0,5.0,5.0,5.0,nie,5.0,5.0,5.0,5.0,4.0,4.0,nie,sehr häufig,4.0,5.0,5.0,5.0,4.0,nie,sehr häufig,4.0,4.0,nie,sehr häufig,nie,sehr häufig,5.0,nie,5.0,5.0,4.0,nie,nie,nie,nie,5.0,3.0,5.0,4.0,nie,4.0,4.0,4.0,5.0,4.0,2.0,5.0,4.0,sehr häufig,sehr häufig,5.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0,5.0,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft zu,trifft eher zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft nicht zu,teils/teils,trifft eher nicht zu,teils/teils,trifft eher nicht zu,trifft zu,teils/teils,trifft eher zu,teils/teils,"Das Praktikum war eine Herausforderung für mich. Ich habe eine erste Klasse AHS in BE unterrichtet und hauptsächlich Arbeitsaufträge erstellt und Feedback auf die Abgaben gegeben. Der Arbeitsaufwand war sehr hoch, denn ich hatte den Unterricht schon für Präsenz vorbereitet und dann nochmal alles umgeplant, damit es für die SuS in Distanz funktioniert. <br>Die LVs und das Praktikum griffen nicht sonderlich gut ineinander, da die LV-Arbeitsaufträge für mich (und einige andere) nicht wirklich durchführbar waren. Es wurde uns aber trotzdem geholfen, damit wir diese abwickeln konnten. Auch wenn der Ablauf nicht optimal war, haben alle LV-Leiterinnen und -Leiter immer versucht die Studierenden bestmöglich zu unterstützen, damit wir alles gut schaffen können.<br>Generell finde ich es beim Praktikum sehr eigenartig, dass die Vorbereitungszeit, die man für die Stundenplanungen braucht, so kritisch gesehen wird. Ich habe bei jedem Praktikum ein paar Vorbereitungsstunden geschrieben, aber real war es meist",,srk27b,7.0,24.0,24.0,,68.0,24.0,107.0,75.0,261.0,100.0,41.0,36.0,48.0,68.0,81.0,40.0,96.0,,,830.0,37.0,1033.0,,2021-02-10 15:12:00,ausgefüllt,Teilnehmer,22.0,22.0,2.0,1.0,1.0,8.0
217,,,base,interview,2021-02-10 14:42:24,22,weiblich,bei meinen Eltern.,,nicht erwerbstätig.,0,äußerst wichtig,6.0,,,GW,EN,5,nein,1.0,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,50.0,45.0,AHS,2,Jänner 2021,2.0,3.0,2.0,3.0,3.0,3,20,2,3,2,20,6.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,9.0,ausgewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,nicht gewählt,ausgewählt,nicht gewählt,teils/teils,teils/teils,teils/teils,trifft eher nicht zu,trifft nicht zu,trifft zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft zu,trifft zu,trifft zu,trifft eher zu,trifft zu,keine Änderungen,,keine Änderung,intensiver auseinandergesetzt,Ähnliches gelernt,,aktiver eingebracht,größer,gleich,erschwert,,trifft voll zu,trifft voll zu,trifft voll zu,3.0,2.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,2.0,3.0,3.0,2.0,trifft voll zu,trifft voll zu,trifft voll zu,3.0,3.0,5.0,5.0,nie,nie,4.0,4.0,4.0,5.0,4.0,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sehr häufig,sehr häufig,sehr häufig,5.0,2.0,2.0,sehr häufig,sehr häufig,2.0,2.0,nie,nie,2.0,5.0,5.0,5.0,sehr häufig,nie,3.0,3.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,2.0,2.0,5.0,5.0,3.0,nie,nie,sehr häufig,sehr häufig,4.0,sehr häufig,sehr häufig,5.0,sehr häufig,sehr häufig,sehr häufig,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,teils/teils,teils/teils,trifft nicht zu,teils/teils,trifft nicht zu,trifft zu,trifft nicht zu,trifft zu,trifft zu,teils/teils,trifft zu,teils/teils,trifft eher zu,trifft nicht zu,trifft eher nicht zu,,"Die Umfrage ist viel zu lange, habe mehrmals überlegt, sie abzubrechen",MWL9B,3.0,27.0,40.0,,59.0,25.0,78.0,101.0,54.0,106.0,34.0,32.0,139.0,,,,,102.0,65.0,79.0,81.0,1025.0,,2021-02-10 14:59:29,ausgefüllt,Teilnehmer,22.0,22.0,2.0,0.0,,8.0
218,,,base,interview,2021-02-10 14:43:57,22,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,9,äußerst wichtig,6.0,,,GW,EN,8,nein,1.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,ja,,,,,50.0,16.0,NMS,4,Jänner 2021,trifft voll zu,3.0,trifft voll zu,3.0,trifft voll zu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,23.0,31.0,,26.0,17.0,,,,,,,,,,,,,,,,99.0,,2021-02-10 14:45:36,abgebrochen,Teilnehmer,6.0,6.0,8.0,1.0,,37.0
222,,,base,interview,2021-02-10 14:44:21,21,weiblich,bei meinen Eltern.,,während des ganzen Semesters erwerbstätig.,5,äußerst wichtig,äußerst wichtig,,,DE,BU,5,nein,1.0,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,ja,,,,,51.0,41.0,NMS,2,Dezember 2020,2.0,2.0,3.0,3.0,2.0,2,20,0,8,2,4,4.0,ausgewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,10.0,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,teils/teils,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft zu,trifft eher zu,trifft eher zu,trifft eher zu,teils/teils,trifft eher zu,trifft zu,trifft zu,trifft zu,keine Änderungen,,mehr gelernt,intensiver auseinandergesetzt,"Unterschiedliches gelernt, nämlich:",,aktiver eingebracht,größer,gleich,keine Änderung,,3.0,2.0,3.0,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft gar nicht zu,trifft voll zu,2.0,3.0,3.0,trifft gar nicht zu,trifft voll zu,3.0,3.0,3.0,3.0,5.0,sehr häufig,2.0,nie,4.0,4.0,,5.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,sehr häufig,sehr häufig,5.0,5.0,4.0,5.0,sehr häufig,4.0,2.0,,,4.0,4.0,5.0,4.0,sehr häufig,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,nie,4.0,sehr häufig,3.0,5.0,5.0,3.0,4.0,sehr häufig,5.0,5.0,sehr häufig,5.0,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,sehr häufig,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,teils/teils,teils/teils,trifft eher nicht zu,trifft eher zu,trifft zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft eher zu,teils/teils,trifft zu,trifft zu,trifft zu,trifft eher zu,,,BHC21B,5.0,29.0,37.0,,38.0,36.0,84.0,65.0,37.0,68.0,41.0,45.0,87.0,,,,,108.0,37.0,51.0,34.0,802.0,,2021-02-10 14:57:43,ausgefüllt,Teilnehmer,22.0,22.0,6.0,3.0,,11.0
225,,,base,interview,2021-02-10 14:57:30,27,männlich,alleine.,,während des ganzen Semesters erwerbstätig.,9,5.0,äußerst wichtig,,,EH,PuP,1,ja,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,11.0,NMS,2,November 2020,trifft voll zu,trifft voll zu,3.0,3.0,trifft voll zu,4,16,,,,,2.0,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,nicht gewählt,8.0,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,ausgewählt,trifft eher zu,trifft eher zu,trifft eher zu,teils/teils,trifft eher nicht zu,trifft zu,trifft zu,trifft eher zu,trifft eher zu,trifft eher zu,trifft zu,teils/teils,teils/teils,trifft eher nicht zu,,,,,,,,,,,,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,3.0,trifft voll zu,trifft voll zu,trifft voll zu,trifft voll zu,trifft gar nicht zu,trifft voll zu,trifft gar nicht zu,trifft gar nicht zu,3.0,3.0,trifft voll zu,3.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,4.0,5.0,sehr häufig,2.0,3.0,3.0,3.0,2.0,2.0,trifft gar nicht zu,trifft nicht zu,trifft nicht zu,trifft nicht zu,trifft eher zu,trifft zu,trifft nicht zu,teils/teils,trifft eher zu,trifft eher zu,trifft nicht zu,trifft eher zu,teils/teils,trifft eher zu,trifft zu,teils/teils,trifft nicht zu,trifft eher nicht zu,trifft nicht zu,,,DMO14B,4.0,33.0,41.0,,60.0,27.0,146.0,69.0,99.0,,,105.0,,,,,,,,162.0,42.0,788.0,,2021-02-10 15:10:38,ausgefüllt,Teilnehmer,22.0,22.0,10.0,5.0,,2.0
226,,,base,interview,2021-02-10 15:04:42,20,weiblich,alleine.,,nicht erwerbstätig.,,6.0,6.0,,,KR,DE,1,nein,1.0,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ja,,,,,20.0,5.0,AHS,3,Jänner 2021,2.0,3.0,2.0,2.0,2.0,,,,,,,0.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,2.0,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,ausgewählt,ausgewählt,nicht gewählt,nicht gewählt,nicht gewählt,nicht gewählt,trifft eher nicht zu,teils/teils,trifft eher nicht zu,trifft eher zu,teils/teils,trifft eher zu,trifft eher zu,teils/teils,trifft eher zu,trifft zu,trifft zu,trifft eher zu,trifft eher zu,trifft eher zu,,,,,,,,,,,,trifft voll zu,3.0,trifft voll zu,3.0,2.0,2.0,3.0,trifft voll zu,trifft voll zu,trifft gar nicht zu,3.0,trifft gar nicht zu,2.0,2.0,2.0,trifft voll zu,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,5.0,nie,4.0,4.0,5.0,5.0,5.0,trifft gar nicht zu,5.0,4.0,trifft eher nicht zu,trifft eher nicht zu,teils/teils,trifft eher zu,trifft eher zu,trifft eher zu,trifft eher nicht zu,trifft nicht zu,trifft zu,trifft eher zu,trifft zu,trifft zu,teils/teils,trifft eher zu,teils/teils,trifft eher zu,trifft nicht zu,teils/teils,,,BKJ12G,2.0,29.0,36.0,,63.0,32.0,43.0,41.0,69.0,,,91.0,,,,,,,,60.0,35.0,501.0,,2021-02-10 15:13:03,ausgefüllt,Teilnehmer,22.0,22.0,12.0,6.0,,21.0
